date,retweets,favorites,text,mentions,hashtags,permalink
2018-02-15,9,13,Brand New Webinar featuring @GucciGangPlays up now https://sunnymoneyfamily.com/product/guest-speaker-feb-2018-gucci-sunny/ …. Be sure to check it out. We talk # ihub # OTC # bitcoin and much more . @GucciGangPlays Wait till you see some of the add-ons to the webinar IHUB part is especially funny.,@GucciGangPlays @GucciGangPlays,# # #, https://twitter.com/SUNNYLAND24/status/964277713207943168
2018-02-15,1,2,Bitcoin with Fibonacci retracements (Feb. 15 2018) pic.twitter.com/3RQpmcfmyP,,, https://twitter.com/PopescuCo/status/964277544202600448
2018-02-15,6,48,Going to Bitcoin Super Conference! pic.twitter.com/hg70mUy1B7,,, https://twitter.com/CryptoBhatt/status/964277408063832065
2018-02-15,10,17,There's a Pattern To Bitcoin's Price Movement and It's Happening Again Right Now @ ericcmackhttp://on.inc.com/2o9U75w,@,, https://twitter.com/Inc/status/964276915946360832
2018-02-15,2,2,WOW - have you seen the @BitschoolAI # whitepaper?!! Follow @bitschoolAI & GO TO https://www.bitschool.io/files/whitepaper_en.pdf …! # bitcoin # altcoin # ethereum # crypto # ICO # education # elearning # bitschool # AI # bitschoolAI # adaptive # education # bonus # RT $ BSCHpic.twitter.com/1dKkaHpvY1,@BitschoolAI @bitschoolAI,# # # # # # # # # # # # # # #, https://twitter.com/devnullius/status/964276827178127360
2018-02-15,0,47,tfw you make 29 cents in bitcoin pic.twitter.com/3CIsGeVfvc,,, https://twitter.com/morganisawizard/status/964276635322208256
2018-02-15,0,5,The Taqueria on the corner apparently accepts Bitcoin. pic.twitter.com/155L8HvySw,,, https://twitter.com/ThoseCloudyDaze/status/964276476873977856
2018-02-15,3,6,$ ins / $ btc: +11% value +27% volume in 6 hours at # Binance ( # INSEcosystem / # Bitcoin @ ins_ecosystem # cryptoasset http://cryptocoinradar.com/#ins ),@,# # # # #ins, https://twitter.com/cryptocoinradar/status/964276271835426817
2018-02-15,0,7,I try not to talk about my bitcoin because i bet as soon as I do the shit will crash instantly. But here I am talking about bitcoin.,,, https://twitter.com/DEUCE_B/status/964276241397403648
2018-02-15,2,0,"With interest in cryptocurrencies reaching far beyond the established coins such as Bitcoin (BTC) and Ethereum (ETH) Coindirect looks to offer an ever-expanding range of popular altcoins." https://themerkle.com/the-uk-market-can-access-over-30-altcoins-in-one-place-with-coindirect/ …,,, https://twitter.com/arichduvet/status/964276028662337536
2018-02-15,3,6,Bitcoin is retesting the $10000 level – here's why it's so important https://www.cnbc.com/2018/02/15/bitcoin-is-retesting-the-10000-level--heres-why-its-so-important.html …,,, https://twitter.com/GigaBitcoin/status/964275683290591232
2018-02-15,14,12,Is cryptocurrency halal? Chechen leader Kadyrov asks Islamic scholars to determine if # Bitcoin is religiously permissible https://themoscowtimes.com/news/chechen-leader-kadyrov-turns-to-religion-to-regulate-bitcoin-60520 … https://themoscowtimes.com/news/chechen-leader-kadyrov-turns-to-religion-to-regulate-bitcoin-60520 …pic.twitter.com/b6QY8jzMy7,,#, https://twitter.com/MoscowTimes/status/964275630782271488
2018-02-15,0,4,congrats sir you win 100 bitcoin,,, https://twitter.com/mutual_ayyde/status/964275279643291648
2018-02-15,7,8,in about an hour.... # Bitcoin Talk Show #54 - Topic: Bitcoin Basics - SKYPE WorldCryptoNetwork (2018-02-15) # LIVE https://www.youtube.com/watch?v=3tul0zz9DGA … What do you wish you had known? What advice do you have for new bitcoiners? Call us live and share your knowledge with the community!pic.twitter.com/GyPvYwtUfp,,# #54 #, https://twitter.com/WorldCryptoNet/status/964274854038945792
2018-02-15,3,7,VoteCentral is the vehicle for consensus in @ DeepOnionx . Everyone’s voice is heard the best ideas are pursued. Blockchain democracy. # privacy # anonymous # crypto # altcoin # bitcoin https://deeponion.org/community/threads/votecentral-community-power.25002/ …pic.twitter.com/dGehiePAlr,@,# # # # #, https://twitter.com/CryptoBZ/status/964274777396531200
2018-02-15,32,101,Bullish for # Bitcoin and Gold: "The Dollar Has Broken Down From A Gigantic Top & And Looks Set To Head Lower Again" https://www.clivemaund.com/article.php?id=4541 …pic.twitter.com/8Zx0GR6vA5,,#, https://twitter.com/maxkeiser/status/964274718328094720
2018-02-15,0,10,If you think so Goodluck Bcash is not bitcoin. it is and will forever be Bcash Bitcoin is bitcoin that is all,,, https://twitter.com/Crypto_KraToZz/status/964274376479830016
