date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2016-01-07 21:33:50,smokin35,,2,0,5,"Hey @coinbase - dna, blood, urine, sperm and stool samples went out today. Anything else I gotta do to buy/sell a fuckin' #bitcoin????",,@coinbase,#bitcoin #bitcoin,685212774016794624,https://twitter.com/smokin35/status/685212774016794624
2016-01-07 21:33:10,2patriceolivier,,0,0,1,"Hackers Adopt SaaS Model to Support Bitcoin Ransomware Schemes - newsBTC: newsBTCHackers Adopt SaaS Mode... http://bit.ly/1UAg1Ht #saas",,,#saas,685212605347053568,https://twitter.com/2patriceolivier/status/685212605347053568
2016-01-07 21:32:20,CoinDesk,,1,29,15,"Bloomberg – The Return of Bitcoin Mining http://coinde.sk/1Rw8bPI",,,,685212394017165316,https://twitter.com/CoinDesk/status/685212394017165316
2016-01-07 21:32:14,OneFinalAct,,0,7,1,"Gold, Bitcoin Soar After China Liquidates Most Reserves On Record To Defend Currency http://bit.ly/1n6D16k ##gold",,,#gold,685212370491293696,https://twitter.com/OneFinalAct/status/685212370491293696
2016-01-07 21:31:17,CoinLook,,0,2,1,"Stanford University Offers Course On Building Bitcoin-Enabled Applications http://bit.ly/1Z8u87X",,,,685212131835379712,https://twitter.com/CoinLook/status/685212131835379712
2016-01-07 21:30:40,EstateAppsUK,,0,1,8,"#Fintech 2016: #Bitcoin rises again and compliance gets sexy via @robmoff http://www.cityam.com/231847/fintech-2016-bitcoin-rises-again-and-compliance-gets-sexy",,@robmoff,#Fintech #Bitcoin #Bitcoin,685211975270424576,https://twitter.com/EstateAppsUK/status/685211975270424576
2016-01-07 21:27:19,EsmeChloeDudoit,,0,13,10,"#Webdev students, take @Stanford's #Bitcoin @21 course as a #MOOC: Form here http://bitcoin.stanford.edu/mooc #indiedev cc: @Liberationtech @balajis",,@Stanford @Liberationtech @balajis,#Webdev #Bitcoin #Bitcoin #MOOC #indiedev,685211134803103744,https://twitter.com/EsmeChloeDudoit/status/685211134803103744
2016-01-07 21:27:06,Vindyne8,,0,16,14,"Every new user at swagsociety.me gets 3 $SWAGBUCKS! #retweet and get 1 $swagbucks! #swag #bitcoin #altcoin #crypto #giveaway #free #RT",,,#retweet #swag #bitcoin #bitcoin #altcoin #crypto #giveaway #free #RT,685211078024757248,https://twitter.com/Vindyne8/status/685211078024757248
2016-01-07 21:20:47,HeidiSHecht,,1,5,5,"A former scamcoin called Europecoin is apparently being rebooted. #Bitcoin #cryptocurrency http://bitcoingarden.tk/from-zero-to-hero-europecoin-success-story/",,,#Bitcoin #Bitcoin #cryptocurrency,685209490002710529,https://twitter.com/HeidiSHecht/status/685209490002710529
2016-01-07 21:20:07,ArtByteMe,,0,2,2,"Join the #ArtByte community of #Artists &amp; #art #fans; share #advice&amp; ideas! Many forum choices http://applebyteme.invisionzone.com #fintech #bitcoin",,,#ArtByte #Artists #art #fans #advice #fintech #bitcoin #bitcoin,685209320699514881,https://twitter.com/ArtByteMe/status/685209320699514881
2016-01-07 21:19:41,EsmeChloeDudoit,,0,17,12,"CS Course at @Stanford Applies Hands-On Approach w/@21 #Bitcoin Computer http://btcm.ag/21 #webdev #indiedev pic.twitter.com/lwf87fY4wl",,@Stanford,#Bitcoin #Bitcoin #webdev #indiedev,685209212238999552,https://twitter.com/EsmeChloeDudoit/status/685209212238999552
2016-01-07 21:18:41,fanfare100,bitcoinbikers,0,0,3,"@jeremyferrick @goldcoin Good ppl2follow: @MadBitcoins @Bitcoin_Rush @haydentiff @aantonop @SamouraiWallet @SamouraiDev @rogerkver Enjoy!",,@JeremyFerrick @goldcoin @MadBitcoins @bitcoin_rush @haydentiff @aantonop @SamouraiWallet @SamouraiDev @rogerkver,,685208959922401281,https://twitter.com/fanfare100/status/685208959922401281
2016-01-07 21:12:05,SeedFounders,,0,3,2,"Tech and Banking Giants Ditch #Bitcoin for Their Own #Blockchain | WIRED http://buff.ly/1k8Bri7",,,#Bitcoin #Bitcoin #Blockchain,685207298302701568,https://twitter.com/SeedFounders/status/685207298302701568
